date,city,latitude,longitude,users,sessions,newUsers
2019-09-27,Stirling,56.1165,-3.9369,2,2,1
2018-01-01,Bellshill,55.8157,-4.0265,1,1,1
2018-11-11,Inverurie,57.2835,-2.374,1,2,0
2018-02-14,Clydebank,55.9007,-4.4048,1,1,0
2017-07-09,Irvine,55.6234,-4.6696,2,2,1
2019-09-12,Inverness,57.4778,-4.2243,6,6,3
2018-01-17,(not set),0,0,16,23,9
2019-09-15,Edinburgh,55.9533,-3.1883,81,94,49
2018-09-16,Kirriemuir,56.6751,-3.0035,1,1,1
2018-02-03,Kilmarnock,55.6234,-4.4988,2,2,1
2019-12-22,Motherwell,55.7776,-3.9811,2,2,2
2016-11-29,Falkirk,56.013,-3.7839,4,4,2
2019-06-23,Aberdeen,57.1497,-2.0943,4,4,2
2018-01-25,Ayr,55.4586,-4.6292,1,1,0
2019-12-31,Cumbernauld,55.9419,-3.9925,3,3,2
2018-07-04,Rutherglen,55.829,-4.2243,1,1,1
2017-04-27,Falkirk,55.9887,-3.7839,2,3,1
2018-10-11,Inverness,57.4778,-4.2243,1,2,1
2019-01-06,East Kilbride,55.7644,-4.177,2,2,1
2018-09-19,Aberdeen,57.1497,-2.0943,3,3,3
2017-07-11,Douglas,55.6,-3.8472,1,1,1
2020-02-21,North Berwick,56.0584,-2.7196,1,2,1
2019-09-24,Musselburgh,55.9392,-3.0539,2,2,1
2018-01-14,Falkirk,56.013,-3.7839,1,1,0
2020-01-05,Dunfermline,56.0717,-3.4522,1,1,0
2016-09-02,Glasgow,55.8642,-4.2518,18,19,10
2020-04-30,Portlethen,57.0617,-2.1295,1,2,0
2018-09-17,Glasgow,55.8622,-4.2518,68,74,52
2017-09-03,Inverbervie,56.8198,-2.2798,1,1,1
2016-10-20,Montrose,56.7069,-2.4661,2,2,1
2019-07-20,Renfrew,55.882,-4.3915,1,1,1
2017-01-11,Biggar,55.6147,-3.524,1,2,0
2019-05-26,St Andrews,56.3398,-2.7967,1,1,1
2017-07-01,Cumbernauld,55.9453,-3.9925,1,1,0
2018-08-13,Dumfries,55.0709,-3.6051,1,1,1
2019-07-03,(not set),0,0,16,20,13
2017-12-31,North Berwick,56.0584,-2.7219,1,1,1
2018-01-28,Livingston,55.9007,-3.5181,6,9,5
2019-04-24,Elgin,57.6495,-3.3185,1,1,1
2019-10-21,Sandbank,56.0019,-4.9463,1,1,1
2019-05-04,Inverurie,57.2835,-2.374,1,1,1
2017-08-14,North Berwick,56.0584,-2.7196,1,1,1
2019-01-30,East Kilbride,55.7644,-4.177,1,1,0
2019-04-10,Ayr,55.4586,-4.6302,1,1,0
2017-04-22,Montrose,56.7069,-2.4661,2,2,2
2017-08-19,Cumbernauld,55.9419,-3.9925,2,2,2
2018-03-06,Edinburgh,55.9533,-3.1883,62,84,34
2018-04-22,Irvine,55.6116,-4.6696,1,1,1
2018-02-16,Livingston,55.9001,-3.5181,2,2,2
2016-10-04,Dundee,56.462,-2.9707,2,2,1
2016-10-23,Kelso,55.6,-2.4322,1,1,1
2018-10-10,Hamilton,55.7776,-4.0537,4,4,3
2017-10-04,Perth,56.395,-3.4308,2,2,1
2019-09-30,Renfrew,55.8753,-4.3915,2,2,1
2016-11-16,Alexandria,56.0019,-4.5789,1,1,1
2017-07-08,Biggar,55.6234,-3.524,1,2,0
2017-03-24,Stirling,56.1141,-3.9369,1,1,0
2017-09-15,Greenock,55.9533,-4.772,2,4,1
2017-11-04,Dundee,56.462,-2.9707,4,4,1
2019-08-26,Falkirk,56.0019,-3.7839,1,1,1
2020-03-07,Inverness,57.4778,-4.2247,1,1,1
2019-03-23,Livingston,55.9007,-3.5181,3,3,1
2017-07-21,Kirkintilloch,55.9419,-4.1562,2,2,1
2019-02-06,Johnstone,55.8373,-4.5139,1,1,1
2019-07-25,Dumbarton,55.9419,-4.5646,1,1,0
2018-12-02,Livingston,55.9001,-3.5181,1,1,1
2017-08-07,Johnstone,55.829,-4.5139,1,1,1
2019-05-07,Irvine,55.6116,-4.6696,1,1,1
2018-06-15,Cumbernauld,55.9419,-3.9925,3,3,3
2017-07-15,Aberdeen,57.1497,-2.0943,3,3,0
2019-07-12,Kilmarnock,55.6116,-4.4988,4,4,3
2017-09-30,(not set),0,0,9,11,9
2019-03-10,Stirling,56.1141,-3.9369,3,3,2
2018-01-17,Musselburgh,55.9392,-3.0539,1,1,0
2020-01-03,Barrhead,55.7967,-4.3977,1,1,0
2019-01-30,Aberdeen,57.1497,-2.0943,6,6,4
2019-06-24,Glenrothes,56.2061,-3.1599,1,4,1
2018-01-22,Perth,56.395,-3.4308,1,1,1
2019-09-06,Livingston,55.9007,-3.5181,9,10,7
2019-11-05,Forfar,56.6436,-2.8891,1,1,1
2020-02-19,Paisley,55.8473,-4.4401,7,9,6
2018-04-11,Greenock,55.9533,-4.772,1,1,1
2017-04-01,Paisley,55.8473,-4.4401,1,1,0
2016-09-17,Hamilton,55.7776,-4.0537,2,2,0
2016-11-21,Kilmarnock,55.6147,-4.4988,1,1,1
2019-03-25,Bo'ness,56.013,-3.6035,1,1,0
2017-12-07,Cumbernauld,55.9419,-3.9925,1,1,1
2018-07-21,Johnstone,55.829,-4.5139,2,2,1
2018-07-28,Inverness,57.4778,-4.2243,1,1,0
2018-03-12,St Andrews,56.3398,-2.7967,1,2,0
2019-03-16,Dumfries,55.0709,-3.6051,1,1,1
2018-05-03,East Kilbride,55.7644,-4.177,1,1,0
2019-12-12,Glenrothes,56.2008,-3.1599,2,2,2
2018-05-14,Stirling,56.1168,-3.9369,1,2,0
2019-07-04,Uddingston,55.8168,-4.0791,1,1,1
2017-02-28,Hamilton,55.7776,-4.0537,1,1,1
2017-03-08,Dumbarton,55.9457,-4.5646,1,1,1
2017-01-22,Dumbarton,55.9419,-4.5646,1,1,1
2018-08-07,Elgin,57.6495,-3.3185,1,1,1
2017-04-24,East Kilbride,55.7644,-4.177,2,2,1
2017-11-22,(not set),0,0,6,6,2
2017-01-04,Perth,56.395,-3.4308,1,1,1
2017-03-18,Portlethen,57.0617,-2.1295,1,1,1
2016-10-28,Perth,56.395,-3.4308,3,3,2
2017-06-22,Clydebank,55.9001,-4.4048,1,1,1
2020-03-21,Dunfermline,56.0717,-3.4522,6,6,4
2019-03-07,Alexandria,56.0019,-4.5789,1,1,0
2017-04-14,Perth,56.395,-3.4308,2,3,1
2017-04-21,Aberdeen,57.1497,-2.0943,3,3,2
2019-10-16,Paisley,55.8473,-4.4401,4,5,4
2017-01-17,Falkirk,56.0019,-3.7839,1,1,0
2018-05-22,Motherwell,55.7776,-3.9811,3,3,3
2018-10-29,Duns,55.7776,-2.3435,1,1,1
2018-11-11,Biggar,55.6116,-3.524,1,1,0
2018-04-19,Musselburgh,55.9392,-3.0539,2,2,1
2020-04-01,Dumbarton,55.9392,-4.5646,1,2,1
2019-08-14,Uddingston,55.8168,-4.0791,1,1,1
2018-02-04,Hamilton,55.7776,-4.0537,3,3,3
2018-12-24,Edinburgh,55.9565,-3.1883,23,26,15
2020-02-14,Kirkintilloch,55.9392,-4.1562,1,2,1
2018-06-01,North Berwick,56.0584,-2.7196,1,1,0
2019-04-26,Rutherglen,55.829,-4.2247,1,1,1
2020-02-26,Dundee,56.462,-2.9707,1,1,0
2017-09-24,Livingston,55.9007,-3.5181,6,6,3
2019-12-31,Dunfermline,56.0717,-3.4522,1,1,1
2020-03-06,Musselburgh,55.9453,-3.0539,4,4,3
2017-12-19,Livingston,55.9001,-3.5181,2,2,2
2017-09-21,Edinburgh,55.9533,-3.1883,27,27,22
2019-10-24,Dundee,56.462,-2.9707,1,1,1
2019-02-22,Rosyth,56.0365,-3.4231,1,1,1
2017-01-27,East Kilbride,55.761,-4.177,3,3,2
2019-09-14,Kirkintilloch,55.9392,-4.1562,1,1,0
2019-01-10,Motherwell,55.7776,-3.9811,1,1,1
2020-03-02,Glasgow,55.8642,-4.2518,59,73,41
2018-12-05,Kirkintilloch,55.9457,-4.1562,1,1,1
2019-08-23,Livingston,55.9007,-3.5181,3,3,3
2018-04-19,East Kilbride,55.7644,-4.177,2,2,1
2017-10-17,Uddingston,55.8157,-4.0791,1,1,1
2018-09-18,Musselburgh,55.9453,-3.0539,4,5,3
2018-05-28,Lerwick,60.153,-1.1493,1,1,1
2019-03-30,Perth,56.395,-3.4308,2,2,2
2020-02-01,Greenock,55.9533,-4.772,1,1,1
2019-05-19,Perth,56.395,-3.4308,1,1,1
2017-04-15,Ayr,55.4586,-4.6292,1,1,1
2018-03-15,Rosyth,56.0365,-3.4231,1,1,0
2017-08-30,Biggar,55.6234,-3.524,1,2,0
2019-07-14,Motherwell,55.7776,-3.9811,1,1,1
2019-04-06,Edinburgh,55.9565,-3.1883,50,54,32
2019-08-18,Paisley,55.8473,-4.4401,3,3,1
2020-04-11,Clydebank,55.9007,-4.4048,1,1,1
2019-09-25,Irvine,55.6116,-4.6696,1,1,0
2018-01-07,Biggar,55.6234,-3.524,1,1,1
2019-09-21,Montrose,56.6751,-2.4661,1,1,1
2019-07-01,Irvine,55.6234,-4.6696,2,2,1
2018-07-13,Kirkintilloch,55.9457,-4.1562,1,1,0
2020-04-14,Glenrothes,56.2008,-3.1599,1,1,1
2019-12-01,Elgin,57.6495,-3.3185,1,1,1
2019-12-10,Avoch,57.5841,-4.177,1,1,0
2018-05-16,Edinburgh,55.9565,-3.1883,63,66,32
2017-07-16,East Kilbride,55.7644,-4.177,1,1,1
2018-06-16,Aberdeen,57.1497,-2.0943,1,1,1
2018-11-15,Musselburgh,55.9392,-3.0539,1,1,1
2020-03-28,Falkirk,56.013,-3.7839,1,1,0
2017-11-05,Livingston,55.9007,-3.5181,4,4,2
2018-02-02,Alexandria,56.0019,-4.5789,1,1,1
2019-04-01,Aberdeen,57.1497,-2.0943,3,3,3
2018-03-04,Greenock,55.9533,-4.772,3,3,2
2019-06-14,Portlethen,57.0617,-2.1295,3,4,2
2019-04-19,Musselburgh,55.9457,-3.0539,1,1,1
2020-02-23,(not set),0,0,11,13,8
2016-10-27,Lockerbie,55.1222,-3.349,1,1,1
2019-08-19,St Andrews,56.3398,-2.7967,1,1,1
2017-09-14,Kirriemuir,56.7069,-3.0035,1,2,1
2018-02-09,Livingston,55.8938,-3.5181,2,3,2
2018-11-20,Motherwell,55.7776,-3.9811,1,1,1
2017-07-07,Dumbarton,55.9457,-4.5646,2,2,1
2019-08-12,Dundee,56.462,-2.9707,1,1,1
2017-04-21,Dundee,56.462,-2.9707,2,2,2
2018-05-02,Fort William,56.8198,-5.1052,3,4,1
2017-10-01,(not set),0,0,5,5,3
2017-12-11,Glasgow,55.8622,-4.2518,34,41,19
2018-05-26,Livingston,55.9001,-3.5181,5,6,3
2019-12-16,Inverness,57.4778,-4.2243,7,8,5
2016-10-10,Blantyre,55.7958,-4.0949,1,1,1
2019-11-13,(not set),0,0,7,9,5
2018-07-30,Dundee,56.462,-2.9707,2,2,1
2017-05-21,Dunfermline,56.0717,-3.4522,5,5,4
2017-09-09,Renfrew,55.8753,-4.3915,1,1,1
2019-02-23,Glasgow,55.8642,-4.2518,75,87,50
2018-10-02,Greenock,55.9565,-4.772,1,1,1
2018-04-09,Portree,57.4125,-6.196,1,1,0
2018-06-01,Stirling,56.1165,-3.9369,1,1,0
2019-10-24,Falkirk,56.0019,-3.7839,3,4,2
2019-01-06,Portlethen,57.0617,-2.1295,1,1,1
2018-03-30,Alexandria,56.0019,-4.5789,2,2,2
2019-08-08,Aberdeen,57.1497,-2.0943,9,9,8
2018-11-04,Inverurie,57.2835,-2.374,1,1,1
2017-11-15,Dunfermline,56.0717,-3.4522,3,5,1
2016-09-12,Bellshill,55.8168,-4.0265,1,1,1
2017-07-18,Cumbernauld,55.9419,-3.9925,1,1,1
2020-02-09,Peebles,55.6531,-3.1936,1,1,1
2019-03-31,Rosyth,56.0365,-3.4231,1,2,0
2018-09-02,Rosyth,56.0365,-3.4231,1,2,0
2018-05-30,Paisley,55.8473,-4.4401,2,2,0
2019-07-18,Kirkcaldy,56.1165,-3.1581,1,1,0
2018-04-25,(not set),0,0,9,13,4
2016-11-29,Stonehouse,55.6987,-3.9811,1,1,1
2017-09-29,Paisley,55.8473,-4.4401,1,1,0
2018-02-09,Paisley,55.8473,-4.4401,2,2,1
2017-02-22,Inverness,57.4778,-4.2243,1,1,1
2018-02-21,East Kilbride,55.7644,-4.177,3,3,2
2020-02-09,Rutherglen,55.829,-4.2247,1,1,1
2018-03-09,East Kilbride,55.7644,-4.177,3,3,2
2016-10-09,Perth,56.395,-3.4308,1,1,1
2018-06-03,Portlethen,57.0617,-2.1295,1,1,1
2017-01-20,Coatbridge,55.8642,-4.0193,1,1,0
2018-02-17,Motherwell,55.7832,-3.9811,1,1,1
2016-12-18,Paisley,55.8473,-4.4401,1,1,1
2020-03-25,Livingston,55.9007,-3.5181,3,3,2
2018-04-20,Falkirk,56.0019,-3.7839,3,4,1
2018-06-23,Edinburgh,55.9533,-3.1883,47,57,36
2019-04-28,Biggar,55.6116,-3.524,1,1,1
2020-02-23,Dundee,56.462,-2.9707,2,2,2
2019-11-03,Dundee,56.462,-2.9707,2,2,2
2019-11-18,Stirling,56.1165,-3.9369,5,5,3
2018-03-04,Irvine,55.6234,-4.6696,1,1,0
2018-03-14,Forres,57.5953,-3.62,1,1,1
2020-01-16,Johnstone,55.829,-4.5139,1,1,1
2019-03-26,Gorebridge,55.829,-3.0461,2,2,0
2018-06-01,Glasgow,55.8642,-4.2518,48,54,30
2020-04-15,Livingston,55.9007,-3.5181,8,8,5
2020-02-04,Greenock,55.9533,-4.772,2,2,2
2019-11-30,Trinity,56.7507,-2.6486,1,1,1
2020-01-30,Dumbarton,55.9419,-4.5646,1,1,1
2019-05-03,Musselburgh,55.9457,-3.0539,2,2,1
2020-01-23,Inverness,57.4778,-4.2247,4,4,2
2018-09-25,Glasgow,55.8622,-4.2518,30,32,22
2020-03-01,North Berwick,56.0584,-2.7196,1,1,1
2018-01-24,Falkirk,56.0019,-3.7839,3,3,1
2017-02-08,East Kilbride,55.7644,-4.177,3,3,2
2016-09-17,Dumfries,55.0709,-3.6051,1,1,1
2019-04-09,Dundee,56.462,-2.9707,3,3,2
2016-12-08,Stirling,56.1168,-3.9369,1,2,0
2020-02-06,Musselburgh,55.9392,-3.0539,2,2,1
2017-03-10,St Andrews,56.3398,-2.7967,1,1,1
2019-05-14,Falkirk,56.0019,-3.7839,4,5,2
2017-08-05,Irvine,55.6116,-4.6696,2,2,2
2018-09-25,Perth,56.395,-3.4308,1,1,1
2019-02-04,Eskdalemuir,55.2678,-3.1757,1,1,0
2019-10-23,Uddingston,55.8157,-4.0791,1,1,1
2018-03-12,Clydebank,55.9007,-4.4048,3,3,3
2019-02-14,Falkirk,56.0019,-3.7839,1,1,1
2018-06-03,(not set),0,0,5,10,3
2019-03-11,North Berwick,56.0584,-2.7196,1,1,1
2018-12-14,Glenrothes,56.2008,-3.1599,1,1,0
2018-11-23,Eskdalemuir,55.2678,-3.1757,1,2,0
2019-06-25,Johnstone,55.829,-4.5139,2,2,2
2018-12-18,Bo'ness,56.0019,-3.6035,1,1,1
2018-08-07,(not set),0,0,3,5,1
2019-10-04,Coatbridge,55.8622,-4.0193,1,1,1
2019-11-02,Paisley,55.8473,-4.4401,2,5,1
2016-12-24,Greenock,55.9533,-4.772,1,1,1
2020-02-12,(not set),0,0,18,19,10
2019-12-14,Renfrew,55.8753,-4.3915,2,4,1
2018-07-11,Aberdeen,57.1497,-2.0943,4,4,3
2019-12-17,Paisley,55.8473,-4.4401,4,4,3
2018-03-12,Kirkintilloch,55.9457,-4.1562,1,1,0
2018-08-20,Paisley,55.8473,-4.4401,2,3,0
2018-04-02,Cumbernauld,55.9392,-3.9925,2,4,2
2020-03-19,Falkirk,56.0019,-3.7839,3,3,2
2017-03-08,Aberdeen,57.1497,-2.0943,9,11,7
2020-02-13,North Berwick,56.0584,-2.7196,2,2,1
2020-04-20,Musselburgh,55.9392,-3.0539,1,1,1
2018-10-24,Barrhead,55.7967,-4.3977,1,1,1
2016-11-18,Kirkintilloch,55.9419,-4.1562,1,1,1
2019-06-26,Avoch,57.5667,-4.177,1,1,1
2017-03-10,Dunfermline,56.0717,-3.4522,5,6,2
2018-04-19,Inverurie,57.2835,-2.374,1,1,0
2019-10-11,Hamilton,55.7832,-4.0537,1,1,0
2018-02-16,Greenock,55.9533,-4.772,2,2,1
2019-07-31,Motherwell,55.7832,-3.9811,1,1,1
2017-05-02,Edinburgh,55.9565,-3.1883,22,25,15
2018-05-28,Falkirk,56.0019,-3.7839,3,3,2
2019-07-24,Glenrothes,56.2008,-3.1599,1,1,0
2019-11-22,Edinburgh,55.9533,-3.1883,82,99,58
2018-07-21,Stirling,56.1141,-3.9369,1,1,0
2019-06-24,Aberdeen,57.1497,-2.0943,4,4,4
2018-04-29,Inverurie,57.2835,-2.374,1,1,0
2018-08-10,Falkirk,55.9887,-3.7839,1,1,1
2019-05-07,Stirling,56.1168,-3.9369,1,2,1
2019-05-23,Glasgow,55.8622,-4.2518,104,124,67
2019-05-09,Edinburgh,55.9565,-3.1883,76,85,43
2016-09-06,Dumbarton,55.9419,-4.5646,2,2,2
2018-12-02,Alloa,56.1168,-3.7919,1,1,1
2017-08-22,Paisley,55.8473,-4.4401,1,1,1
2016-09-17,Stirling,56.1141,-3.9369,1,1,1
2018-01-08,North Berwick,56.0584,-2.7196,1,1,1
2019-01-26,Coatbridge,55.8642,-4.0193,1,1,1
2019-09-19,Musselburgh,55.9392,-3.0539,3,3,2
2017-07-05,Biggar,55.6147,-3.524,1,1,0
2017-02-06,Aberdeen,57.1497,-2.0943,5,5,5
2019-01-06,Alloa,56.1141,-3.7919,1,1,1
2016-11-22,Dumbarton,55.9392,-4.5646,1,1,1
2020-01-13,Inverness,57.4778,-4.2247,9,10,4
2017-03-07,Melrose,55.6,-2.7196,1,1,1
2018-08-23,Inverness,57.4778,-4.2247,1,2,0
2017-02-20,Falkirk,56.0019,-3.7839,1,1,0
2019-09-03,Paisley,55.8473,-4.4401,1,1,1
2019-05-14,Coatbridge,55.8642,-4.0193,1,1,1
2019-01-10,Edinburgh,55.9533,-3.1883,65,68,38
2019-06-05,Glasgow,55.8642,-4.2518,82,100,49
2018-07-02,Edinburgh,55.9533,-3.1883,63,71,40
2018-03-23,Cumbernauld,55.9392,-3.9925,1,1,1
2017-01-09,Dunfermline,56.0717,-3.4522,2,2,2
2016-10-19,Blantyre,55.7967,-4.0949,1,1,1
2018-05-16,Livingston,55.9001,-3.5181,5,5,3
2018-01-27,Clydebank,55.8938,-4.4048,1,1,1
2017-11-15,Edinburgh,55.9533,-3.1883,34,41,20
2017-02-10,Cumbernauld,55.9457,-3.9925,1,1,0
2019-09-07,Glenrothes,56.2008,-3.1599,1,1,1
2016-12-29,Cumbernauld,55.9457,-3.9925,1,1,1
2020-01-10,Irvine,55.6116,-4.6696,1,1,1
2019-04-25,Renfrew,55.8753,-4.3915,1,1,1
2019-01-27,Rutherglen,55.8373,-4.2243,2,3,0
2017-08-05,East Kilbride,55.7644,-4.177,2,2,1
2018-09-04,Coatbridge,55.8622,-4.0193,2,4,1
2018-10-02,Greenock,55.9592,-4.772,1,1,1
2018-04-20,Renfrew,55.8753,-4.3915,1,1,0
2019-09-29,Fort William,56.8449,-5.1052,2,2,1
2019-10-06,Edinburgh,55.9533,-3.1883,108,127,70
2018-01-21,Hamilton,55.7832,-4.0537,2,2,2
2016-12-13,Livingston,55.9007,-3.5181,2,3,1
2019-05-09,Arbroath,56.5591,-2.5915,1,1,1
2017-12-20,Musselburgh,55.9419,-3.0539,2,2,1
2018-08-28,Rutherglen,55.8367,-4.2247,1,1,0
2018-08-09,Paisley,55.8473,-4.4401,2,2,2
2019-11-01,Paisley,55.8473,-4.4401,2,2,2
2018-12-06,Inverurie,57.2835,-2.374,3,5,3
2020-03-18,Kilmarnock,55.6147,-4.4988,1,1,1
2017-05-28,Falkirk,56.0019,-3.7839,4,4,2
2018-06-17,(not set),0,0,6,6,2
2019-07-29,Biggar,55.6116,-3.524,1,1,1
2017-06-07,Biggar,55.6234,-3.524,2,5,1
2016-10-17,Edinburgh,55.9533,-3.1883,113,128,78
2019-02-03,Portree,57.4125,-6.196,1,1,1
2017-01-31,Dundee,56.462,-2.9707,1,1,1
2019-04-02,Prestwick,55.4956,-4.6142,1,2,1
2016-12-03,Portlethen,57.0617,-2.1295,1,2,1
2018-04-16,Perth,56.395,-3.4308,2,2,2
2017-12-13,Musselburgh,55.9419,-3.0539,2,6,2
2017-01-21,Rutherglen,55.829,-4.2243,4,4,1
2018-05-24,Stornoway,58.2094,-6.3849,1,1,1
2017-07-08,Dunfermline,56.0717,-3.4522,5,5,3
2019-02-22,Coatbridge,55.8642,-4.0193,1,1,1
2019-08-12,Glasgow,55.8622,-4.2518,38,46,25
2019-02-16,Stirling,56.1165,-3.9369,1,1,0
2020-02-06,Glenrothes,56.2008,-3.1599,2,2,1
2017-07-05,Eskdalemuir,55.2678,-3.1757,1,1,0
2019-11-05,Livingston,55.9007,-3.5181,10,10,7
2018-10-31,Falkirk,56.0019,-3.7839,1,1,1
2017-10-27,Renfrew,55.8753,-4.3915,1,1,0
2020-02-11,Kilwinning,55.6559,-4.7031,1,1,1
2017-08-18,Alloa,56.1165,-3.7919,1,1,1
2019-05-12,Paisley,55.8473,-4.4401,4,6,1
2019-08-31,Hamilton,55.7776,-4.0537,7,7,6
2016-11-05,Perth,56.395,-3.4308,1,1,1
2017-04-12,Inverness,57.4778,-4.2243,1,1,1
2017-05-19,Inverness,57.4778,-4.2243,1,1,1
2018-10-06,Glasgow,55.8642,-4.2518,28,32,16
2018-07-19,Kirkcaldy,56.1165,-3.1581,2,2,2
2017-03-07,Renfrew,55.8753,-4.3915,1,1,1
2018-01-15,Kilmarnock,55.6234,-4.4988,2,2,1
2019-07-27,North Berwick,56.0584,-2.7196,1,1,1
2016-11-13,Biggar,55.6147,-3.524,1,2,0
2018-12-07,Aberdeen,57.1497,-2.0943,19,21,15
2020-04-23,Alloa,56.1168,-3.7919,2,2,2
2019-06-27,Bo'ness,56.0019,-3.6035,1,1,0
2020-04-08,Kilbride,56.3755,-5.4727,1,1,1
2016-09-05,Biggar,55.6234,-3.524,1,1,0
2017-03-09,Edinburgh,55.9533,-3.1883,24,29,11
2019-10-30,Dundee,56.462,-2.9707,2,2,2
2018-07-17,Hamilton,55.7832,-4.0537,2,2,1
2017-10-20,Portlethen,57.0617,-2.1295,1,1,1
2017-03-09,Glasgow,55.8642,-4.2518,43,50,28
2017-11-12,Aberdeen,57.1497,-2.0943,1,1,1
2018-04-23,Forres,57.6098,-3.62,1,1,1
2016-10-08,Dumbarton,55.9457,-4.5646,2,3,1
2019-09-23,Dunfermline,56.0717,-3.4522,3,4,2
2019-09-07,Portlethen,57.0617,-2.1295,1,1,0
2016-12-17,Stonehouse,55.6987,-3.9811,1,1,1
2020-02-24,Melrose,55.6,-2.7196,1,1,1
2019-06-15,Rosyth,56.0365,-3.4231,1,1,1
2019-02-05,Motherwell,55.7832,-3.9811,1,1,1
2017-04-21,Kilwinning,55.6559,-4.7031,1,1,1
2017-05-26,Stirling,56.1168,-3.9369,3,3,3
2018-02-27,Hamilton,55.7832,-4.0537,2,3,1
2019-03-11,Kirkcaldy,56.1168,-3.1581,1,1,1
2018-11-18,(not set),0,0,5,5,4
2017-02-03,Kilmarnock,55.6116,-4.4988,1,1,1
2016-12-25,Rutherglen,55.829,-4.2247,1,1,0
2019-11-04,Alloa,56.1165,-3.7919,3,4,3
2020-02-18,Inverness,57.4778,-4.2243,6,6,4
2019-04-01,Inverness,57.4778,-4.2247,3,3,3
2019-12-10,East Kilbride,55.7644,-4.177,1,1,1
2019-05-27,Inverness,57.4778,-4.2247,17,17,10
2019-12-11,East Kilbride,55.761,-4.177,3,3,2
2019-04-11,Stirling,56.1165,-3.9369,1,1,0
